rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
29/01/2018 15:40,2016,HEATHROW,75671863,268373670,69390591,219289585
29/01/2018 15:40,2016,GATWICK,43114888,268373670,33643989,219289585
29/01/2018 15:40,2016,MANCHESTER,25598827,268373670,18806655,219289585
29/01/2018 15:40,2016,STANSTED,24318395,268373670,18047403,219289585
29/01/2018 15:40,2016,LUTON,14642282,268373670,9509915,219289585
29/01/2018 15:40,2016,EDINBURGH,12347826,268373670,9383695,219289585
29/01/2018 15:40,2016,BIRMINGHAM,11639399,268373670,8608192,219289585
29/01/2018 15:40,2016,GLASGOW,9343147,268373670,6858268,219289585
29/01/2018 15:40,2016,BRISTOL,7604147,268373670,5767628,219289585
29/01/2018 15:40,2016,BELFAST INTERNATIONAL,5147399,268373670,4101914,219289585
29/01/2018 15:40,2016,NEWCASTLE,4804958,268373670,4336304,219289585
29/01/2018 15:40,2016,LIVERPOOL (JOHN LENNON),4776996,268373670,5246540,219289585
29/01/2018 15:40,2016,EAST MIDLANDS INTERNATIONAL,4651373,268373670,4208402,219289585
29/01/2018 15:40,2016,LONDON CITY,4538735,268373670,2992847,219289585
29/01/2018 15:40,2016,LEEDS BRADFORD,3611458,268373670,2936988,219289585
29/01/2018 15:40,2016,ABERDEEN,2955325,268373670,3082575,219289585
29/01/2018 15:40,2016,BELFAST CITY (GEORGE BEST),2665139,268373670,2397270,219289585
29/01/2018 15:40,2016,SOUTHAMPTON,1946938,268373670,1761961,219289585
29/01/2018 15:40,2016,CARDIFF WALES,1344273,268373670,1208268,219289585
29/01/2018 15:40,2016,DONCASTER SHEFFIELD,1255592,268373670,821615,219289585
29/01/2018 15:40,2016,SOUTHEND,874411,268373670,42439,219289585
29/01/2018 15:40,2016,EXETER,847017,268373670,709314,219289585
29/01/2018 15:40,2016,INVERNESS,782245,268373670,579123,219289585
29/01/2018 15:40,2016,PRESTWICK,671661,268373670,1295676,219289585
29/01/2018 15:40,2016,BOURNEMOUTH,666219,268373670,612547,219289585
29/01/2018 15:40,2016,NORWICH,506007,268373670,413837,219289585
29/01/2018 15:40,2016,NEWQUAY,370272,268373670,209574,219289585
29/01/2018 15:40,2016,CITY OF DERRY (EGLINTON),290671,268373670,405568,219289585
29/01/2018 15:40,2016,SUMBURGH,249050,268373670,142615,219289585
29/01/2018 15:40,2016,HUMBERSIDE,201279,268373670,273096,219289585
29/01/2018 15:40,2016,SCATSTA,162100,268373670,288225,219289585
29/01/2018 15:40,2016,KIRKWALL,152727,268373670,133930,219289585
29/01/2018 15:40,2016,DURHAM TEES VALLEY,131487,268373670,190284,219289585
29/01/2018 15:40,2016,STORNOWAY,124338,268373670,122439,219289585
29/01/2018 15:40,2016,ISLES OF SCILLY (ST.MARYS),95068,268373670,112218,219289585
29/01/2018 15:40,2016,LANDS END (ST JUST),64292,268373670,33098,219289585
29/01/2018 15:40,2016,DUNDEE,37632,268373670,61648,219289585
29/01/2018 15:40,2016,BLACKPOOL,36269,268373670,235682,219289585
29/01/2018 15:40,2016,BENBECULA,32439,268373670,34240,219289585
29/01/2018 15:40,2016,ISLAY,27973,268373670,25784,219289585
29/01/2018 15:40,2016,WICK JOHN O GROATS,20021,268373670,24262,219289585
29/01/2018 15:40,2016,BARRA,12808,268373670,10482,219289585
29/01/2018 15:40,2016,GLOUCESTERSHIRE,12329,268373670,14737,219289585
29/01/2018 15:40,2016,TIREE,11210,268373670,8310,219289585
29/01/2018 15:40,2016,CAMPBELTOWN,8472,268373670,9201,219289585
29/01/2018 15:40,2016,LERWICK (TINGWALL),4438,268373670,5181,219289585
29/01/2018 15:40,2016,BIGGIN HILL,627,268373670,0,219289585
29/01/2018 15:40,2016,CAMBRIDGE,591,268373670,597,219289585
29/01/2018 15:40,2016,LYDD,509,268373670,496,219289585
29/01/2018 15:40,2016,OXFORD (KIDLINGTON),383,268373670,1491,219289585
29/01/2018 15:40,2016,SHOREHAM,165,268373670,634,219289585
29/01/2018 15:40,2016,ISLES OF SCILLY (TRESCO),0,268373670,40628,219289585
29/01/2018 15:40,2016,MANSTON (KENT INT),0,268373670,37169,219289585
29/01/2018 15:40,2016,PENZANCE HELIPORT,0,268373670,75206,219289585
29/01/2018 15:40,2016,PLYMOUTH,0,268373670,28834,219289585

