rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
08/03/2018 10:23,2017,1,1,London Area Airports,GATWICK,283437,195073,51541,21526,11891,3292,114
08/03/2018 10:23,2017,1,1,London Area Airports,HEATHROW,476186,260794,97069,116842,760,686,35
08/03/2018 10:23,2017,1,1,London Area Airports,LONDON CITY,76611,47463,22870,6262,6,10,0
08/03/2018 10:23,2017,1,1,London Area Airports,LUTON,106064,51393,49362,1295,2700,1249,65
08/03/2018 10:23,2017,1,1,London Area Airports,SOUTHEND,11333,8309,3023,1,0,0,0
08/03/2018 10:23,2017,1,1,London Area Airports,STANSTED,172109,31153,126134,9353,4510,827,132
08/03/2018 10:23,2017,1,3,Other UK Airports,ABERDEEN,81926,35331,10200,2468,30197,3724,6
08/03/2018 10:23,2017,1,3,Other UK Airports,BARRA,1394,1394,0,0,0,0,0
08/03/2018 10:23,2017,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),36891,32191,4421,184,30,65,0
08/03/2018 10:23,2017,1,3,Other UK Airports,BELFAST INTERNATIONAL,41691,32233,6062,18,2388,973,17
08/03/2018 10:23,2017,1,3,Other UK Airports,BENBECULA,1827,1827,0,0,0,0,0
08/03/2018 10:23,2017,1,3,Other UK Airports,BIGGIN HILL,146,0,0,0,25,121,0
08/03/2018 10:23,2017,1,3,Other UK Airports,BIRMINGHAM,112128,56001,39607,9553,6355,405,207
08/03/2018 10:23,2017,1,3,Other UK Airports,BLACKPOOL,5397,0,186,0,5211,0,0
08/03/2018 10:23,2017,1,3,Other UK Airports,BOURNEMOUTH,3975,345,2432,33,1080,46,39
08/03/2018 10:23,2017,1,3,Other UK Airports,BRISTOL,63863,40599,18633,2,4151,371,107
08/03/2018 10:23,2017,1,3,Other UK Airports,CAMPBELTOWN,1074,1073,1,0,0,0,0
08/03/2018 10:23,2017,1,3,Other UK Airports,CARDIFF WALES,16944,9764,3960,0,2851,369,0
08/03/2018 10:23,2017,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1911,902,988,0,5,16,0
08/03/2018 10:23,2017,1,3,Other UK Airports,DONCASTER SHEFFIELD,10039,3814,3764,30,2105,178,148
08/03/2018 10:23,2017,1,3,Other UK Airports,DUNDEE,1174,1139,0,0,2,33,0
08/03/2018 10:23,2017,1,3,Other UK Airports,DURHAM TEES VALLEY,4117,2127,1943,0,16,30,1
08/03/2018 10:23,2017,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56949,21373,20541,2156,4140,8658,81
08/03/2018 10:23,2017,1,3,Other UK Airports,EDINBURGH,122707,78687,36059,5650,1338,963,10
08/03/2018 10:23,2017,1,3,Other UK Airports,EXETER,13761,11988,1,0,1685,53,34
