rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,GATWICK,35165530,34162014,32360773,31342263,33643989,34218668,35428548,38093878,40260068,43143353,45553837,5.587150354
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,HEATHROW,67852387,66906954,65906643,65745250,69390591,69983139,72331690,73371096,74953708,75671863,77987524,3.060134782
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,LONDON CITY,2912123,3260225,2796890,2780582,2992847,3016664,3379753,3647824,4319301,4538735,4530439,-0.182782207
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,LUTON,9919361,10173902,9115316,8733837,9509915,9614175,9693487,10481501,12262581,14642284,15989225,9.198981525
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,SOUTHEND,49311,44075,3948,3583,42439,616974,969912,1102260,900634,874411,1091738,24.854101790
08/03/2018 11:09,2017 - 2017,1,1,London Area Airports,STANSTED,23759250,22340375,19949689,18561598,18047403,17464792,17848871,19958047,22513443,24318395,25902618,6.514504761
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,ABERDEEN,3411140,3290236,2983793,2763491,3082575,3328533,3440177,3723411,3469328,2955325,3090272,4.566232140
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BARRA,10415,10705,10182,10192,10482,11414,9410,10521,10658,12808,14913,16.435040600
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2186867,2570741,2621733,2740304,2397270,2246202,2541703,2555111,2692713,2665139,2559846,-3.950750786
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BELFAST INTERNATIONAL,5236055,5222839,4536498,4010972,4101914,4312441,4022469,4031685,4389861,5147399,5836735,13.391928623
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BENBECULA,34992,33595,32692,30023,34240,30849,30628,31190,32125,32439,33258,2.524738740
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BIGGIN HILL,0,0,0,0,0,0,326,497,644,627,1318,110.207336523
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BIRMINGHAM,9134055,9576700,9093201,8563505,8608192,8916209,9114226,9698488,10180059,11639399,12982180,11.536514901
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BLACKPOOL,557636,439199,276860,235340,235682,235191,262630,223998,33494,36269,23391,-35.506906725
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BOURNEMOUTH,1083379,1078941,868445,749790,612547,689755,659021,660374,705433,666219,693977,4.166497803
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,BRISTOL,5883856,6228656,5615200,5723182,5767628,5916258,6125149,6333006,6781195,7604160,8234095,8.284083975
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,CAMBRIDGE,2151,1854,1307,886,597,2130,9249,20663,5799,591,0,-100.000000000
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,CAMPBELTOWN,8901,9090,9389,8682,9201,8689,9427,9331,8288,8472,8726,2.998111426
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,CARDIFF WALES,2093507,1978719,1624730,1397864,1208268,1013386,1057073,1019545,1158383,1344273,1464180,8.919839943
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),427586,438996,345857,338505,405568,398209,384973,350257,284482,290671,193981,-33.264412342
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,COVENTRY,598916,331022,167,0,0,0,0,0,0,0,0,
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,DONCASTER SHEFFIELD,1074373,967801,834636,875605,821615,693129,689761,724252,856592,1255592,1335590,6.371337186
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,DUNDEE,65419,60929,72466,70360,61648,54642,27560,22069,21942,37632,21327,-43.327487245
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,DURHAM TEES VALLEY,736888,646741,288296,224673,190284,164826,159311,142274,140373,131487,128007,-2.646649479
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,5406504,5616278,4652691,4110529,4208402,4067915,4327556,4506791,4446219,4651373,4877545,4.862478240
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,EDINBURGH,9037200,8992178,9043452,8594449,9383695,9194334,9775026,10158906,11113386,12347826,13409610,8.598954990
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,EXETER,1012575,951265,789733,736680,709314,694963,737919,766572,821165,849881,908260,6.869079318
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,GLASGOW,8726013,8135260,7213397,6521765,6858268,7150095,7358099,7708867,8709531,9343147,9894845,5.904841270
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,GLOUCESTERSHIRE,5324,19830,20220,16238,14737,15245,14129,15141,12253,12329,1488,-87.930894639
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,HUMBERSIDE,465872,424402,335149,282583,273096,233589,234641,237329,221190,201279,190490,-5.360221384
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,INVERNESS,697480,670752,583374,528447,579123,601550,607236,611373,667560,782245,874486,11.791829925
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,ISLAY,28406,29136,26285,24946,25784,21230,25754,27412,28993,27973,32392,15.797376041
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,KIRKWALL,131903,137616,138383,129022,133930,132235,149574,150877,149524,152727,164484,7.698049461
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,LEEDS BRADFORD,2859858,2860447,2552597,2723833,2936988,2968700,3314395,3263247,3445291,3611458,4074500,12.821469888
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,LERWICK (TINGWALL),5059,4854,4709,4609,5181,5041,3784,3591,4175,4438,4139,-6.737269040
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5463234,5329826,4879468,5007944,5246540,4458500,4185757,3984023,4295763,4777030,4896603,2.503082459
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,LYDD,2696,1673,588,485,496,445,670,1194,1134,114,0,-100.000000000
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,MANCHESTER,21891723,21062749,18630394,17662699,18806655,19654100,20680467,21950223,23094593,25598827,27773917,8.496834640
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,MANSTON (KENT INT),15556,11625,5335,25692,37169,8262,40143,12385,0,0,0,
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,NEWCASTLE,5623607,5016640,4568619,4345952,4336304,4354648,4415262,4512976,4559841,4804958,5297952,10.260110494
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,NEWQUAY,352548,430893,347036,285271,209574,166272,174632,219167,250278,370272,459924,24.212470832
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,NORWICH,699359,582973,429542,425662,413837,396646,463029,458931,459664,506007,528153,4.376619296
08/03/2018 11:09,2017 - 2017,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,1297,2186,1491,6551,6840,1194,166,383,90,-76.501305483
