rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,GATWICK,6261814,10173431,-38.449339264,0,0,,52344,79489,-34.149379159,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,HEATHROW,19393886,22111326,-12.289810209,0,0,,193134,207021,-6.708015129,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,LONDON CITY,720580,908105,-20.650145082,0,0,,12921,19554,-33.921448297,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,LUTON,4674800,5550821,-15.781827589,0,0,,41656,49251,-15.421006680,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,SOUTHEND,94367,401143,-76.475471341,0,0,,1544,4892,-68.438266558,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,1,London Area Airports,STANSTED,7148200,7539689,-5.192375972,0,0,,77278,74417,3.844551648,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,ABERDEEN,754227,684049,10.259206577,321412,310028,3.671926407,19221,19866,-3.246753247,28190,27564,2.271078218
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BARRA,9956,6156,61.728395062,0,0,,1247,1047,19.102196753,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),812424,542547,49.742602945,0,0,,12217,10095,21.020307083,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BELFAST INTERNATIONAL,2328276,1747086,33.266250202,0,0,,24008,19416,23.650597445,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BENBECULA,24202,14199,70.448623142,0,0,,1645,1299,26.635873749,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BIGGIN HILL,2612,1845,41.571815718,0,0,,433,277,56.317689531,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BIRMINGHAM,2482430,2869582,-13.491581701,0,0,,28523,31968,-10.776401401,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BLACKPOOL,0,0,,0,11412,,0,0,,0,3000,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BOURNEMOUTH,200640,175907,14.060270484,0,0,,3098,1964,57.739307536,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,BRISTOL,2087772,2194524,-4.864471749,0,0,,20935,21661,-3.351645815,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,CAMPBELTOWN,3282,2520,30.238095238,0,0,,917,992,-7.560483871,0,0,
3/25/2022 10:31:56 AM,2021,2020,1,3,Other UK Airports,CARDIFF WALES,123825,219984,-43.711815405,0,0,,2065,3258,-36.617556783,0,0,
