rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,GATWICK,33643989,34218668,35428548,38093878,40260068,43143353,45553837,46081327,46574786,10171867,6260072,-38.457001060
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,HEATHROW,69390591,69983139,72331690,73371096,74953708,75671863,77987524,80100311,80886589,22109550,19397688,-12.265568499
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,LONDON CITY,2992847,3016664,3379753,3647824,4319301,4538735,4530439,4820403,5122271,908105,720580,-20.650145082
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,LUTON,9509915,9614175,9693487,10481501,12262581,14642284,15989225,16766552,18213901,5550401,4673656,-15.796065906
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,SOUTHEND,42439,616974,969912,1102260,900634,874411,1091616,1480139,2035535,401143,94367,-76.475471341
25/03/2022 12:01,2021 - 2021,1,1,London Area Airports,STANSTED,18047403,17464792,17848871,19958047,22513443,24318395,25902618,27995121,28124292,7536869,7145802,-5.188719613
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,ABERDEEN,3082575,3328533,3440177,3723411,3469328,2955325,3090272,3055995,2912743,994076,1075639,8.204905862
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BARRA,10482,11414,9410,10521,10658,12808,14913,14706,14599,6140,9954,62.117263844
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2397270,2246202,2541703,2555111,2692713,2665139,2559846,2510294,2455259,542523,812397,49.744250474
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BELFAST INTERNATIONAL,4101914,4312441,4022469,4031685,4389861,5147399,5836735,6269025,6278374,1746951,2327139,33.211463859
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BENBECULA,34240,30849,30628,31190,32125,32439,33258,35404,34656,12713,20320,59.836387949
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BIGGIN HILL,0,0,326,497,644,627,1318,1674,2262,1845,2612,41.571815718
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BIRMINGHAM,8608192,8916209,9114226,9698488,10180059,11639399,12982180,12454642,12646456,2865845,2476584,-13.582765293
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BLACKPOOL,235682,235191,262630,223998,33494,36269,23391,19321,15213,11412,0,-100.000000000
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BOURNEMOUTH,612547,689755,659021,660374,705433,666219,693977,674972,803127,175907,200488,13.973861188
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,BRISTOL,5767628,5916258,6125149,6333006,6781195,7604160,8234095,8696653,8959679,2192725,2085886,-4.872430423
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,CAMBRIDGE,597,2130,9249,20663,5799,591,0,0,0,0,0,
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,CAMPBELTOWN,9201,8689,9427,9331,8288,8472,8726,8472,7975,2108,2881,36.669829222
25/03/2022 12:01,2021 - 2021,1,3,Other UK Airports,CARDIFF WALES,1208268,1013386,1057073,1019545,1158383,1344273,1464180,1579286,1654920,219197,122729,-44.009726410
