"","Var1","Freq"
"1","Aerospatiale/Alenia ATR 42-300",12
"2","Aerospatiale/Alenia ATR 42-500",2
"3","Aerospatiale/Alenia ATR 72",40
"4","Airbus A300-600",4
"5","Airbus A310",7
"6","Airbus A318",6
"7","Airbus A319",628
"8","Airbus A320",656
"9","Airbus A321",235
"10","Airbus A330",39
"11","Airbus A330-200",33
"12","Airbus A330-300",48
"13","Airbus A340-300",6
"14","Airbus A340-600",26
"15","Airbus A380",6
"16","Airbus A380-800",10
"17","Avro RJ100",7
"18","Avro RJ85",35
"19","Boeing 717",4
"20","Boeing 737",19
"21","Boeing 737-300",157
"22","Boeing 737-400",37
"23","Boeing 737-500",6
"24","Boeing 737-600",12
"25","Boeing 737-700",5
"26","Boeing 737-800",835
"27","Boeing 737-900",4
"28","Boeing 747",2
"29","Boeing 747-400",155
"30","Boeing 757",33
"31","Boeing 757-200",125
"32","Boeing 757-300",10
"33","Boeing 767",58
"34","Boeing 767-300",61
"35","Boeing 767-400",21
"36","Boeing 777",195
"37","Boeing 777-200",9
"38","Boeing 777-200LR",5
"39","Boeing 777-300",12
"40","Boeing 777-300ER",72
"41","Boeing 787",9
"42","Boeing 787-8",34
"43","British Aerospace Jetstream 31",4
"44","British Aerospace Jetstream 32",4
"45","British Aerospace Jetstream 41",16
"46","Canadair Regional Jet 200",2
"47","Canadair Regional Jet 900",12
"48","De Havilland Canada DHC-6 Twin Otter",12
"49","De Havilland Canada DHC-8-400 Dash 8Q",167
"50","Embraer 170",21
"51","Embraer 175",46
"52","Embraer 190",48
"53","Embraer 195",28
"54","Embraer Legacy 600",8
"55","Embraer RJ145",34
"56","Fairchild Dornier 328JET",4
"57","Fairchild Dornier Do.328",17
"58","Fokker 100",8
"59","Fokker 50",38
"60","Fokker 70",21
"61","Pilatus Britten-Norman BN-2A Mk III Trislander",2
"62","Pilatus Britten-Norman BN-2A/B Islander",20
"63","Saab 2000",10
"64","Saab SF340A/B",33
