rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,GATWICK,32693005,34080345,35165404,34162014,32360773,31342263,33643989,34218668,35428548,38093930,40260068,5.686307504
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,HEATHROW,67683317,67339227,67852387,66906954,65906641,65745250,69390591,69983139,72331690,73371096,74953981,2.157368618
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,LONDON CITY,1996397,2358159,2912123,3260225,2796890,2780582,2992847,3016664,3379753,3647824,4319301,18.40760409
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,LUTON,9134748,9414829,9919361,10173902,9115327,8733837,9509915,9614175,9693487,10481501,12262581,16.9926044
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,SOUTHEND,5133,30222,49311,44075,3948,3583,42439,616974,969912,1102260,900634,-18.29205451
17/03/2016 11:41,2005 - 2015,1,1,London Area Airports,STANSTED,21991733,23680352,23759250,22340375,19949689,18561598,18047403,17464792,17848871,19958047,22513443,12.80383797
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,ABERDEEN,2851784,3162624,3411140,3290236,2983793,2763491,3082575,3328533,3440177,3723411,3469328,-6.823931068
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BARRA,9454,9808,10415,10705,10182,10192,10482,11414,9410,10521,10658,1.30215759
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2236977,2105597,2186867,2570741,2621733,2740305,2397270,2246202,2541703,2555111,2692713,5.385362906
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,4819512,5015264,5236055,5222839,4536498,4010972,4101914,4312441,4022469,4031685,4389861,8.884027398
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BENBECULA,31247,33433,34992,33595,32692,30023,34240,30849,30612,31190,32125,2.997755691
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BIGGIN HILL,676,220,,,,,,,326,497,644,29.57746479
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BIRMINGHAM,9311403,9056004,9134055,9576700,9093201,8563505,8608192,8916209,9114226,9698488,10180059,4.965423476
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BLACKPOOL,376808,552641,557636,439199,276860,235340,235682,235191,262630,223998,33494,-85.04718792
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BOURNEMOUTH,829108,960773,1083379,1078941,868445,749790,612547,689755,659021,660374,705433,6.823254701
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,BRISTOL,5199220,5710222,5883856,6228656,5615200,5723182,5767628,5916258,6125149,6333058,6781195,7.076154995
17/03/2016 11:41,2005 - 2015,1,3,Other UK Airports,CAMBRIDGE,2087,1391,2151,1854,1307,916,597,2130,9249,20663,5799,-71.93534337
