rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,GATWICK,251953,254414,258921,256352,245377,233553,244570,240447,244301,254540,262571,3.155103324
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,HEATHROW,472041,470891,475789,473207,460178,449271,476295,471382,469565,470708,472060,0.287226901
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,LONDON CITY,60693,66129,77274,84074,66907,59919,61064,64310,68118,70133,79251,13.00101236
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,LUTON,75424,78840,83319,85661,75094,68571,72138,71725,70889,75616,87440,15.63690224
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,SOUTHEND,118,562,878,869,75,64,1259,7268,9475,11541,8975,-22.23377524
17/03/2016 11:38,2005 - 2015,1,1,London Area Airports,STANSTED,178012,189995,191522,177285,155985,142993,136899,131297,131925,143101,154478,7.950328789
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,ABERDEEN,89480,97863,102835,100169,94386,87950,94796,98783,99887,106143,95687,-9.850861574
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BARRA,1089,1118,1176,1249,1196,1177,1179,1254,880,882,947,7.369614512
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),37298,36862,39925,40205,37604,38701,40556,35921,36865,36052,40571,12.53467214
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,47695,48212,51805,53631,44060,39230,37308,39120,36596,34795,36273,4.247736744
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BEMBRIDGE,0,0,0,0,0,0,,,,,,
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BENBECULA,2694,2771,2857,2755,2791,2555,2573,2420,1887,1681,1692,0.654372397
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BIGGIN HILL,27,6,0,0,0,0,0,0,8,34,24,-29.41176471
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BIRMINGHAM,112963,108658,104481,102856,93936,84790,83826,84062,84851,89056,89837,0.876976285
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BLACKPOOL,12652,12622,12688,10630,10888,9589,8897,9607,10282,8231,6554,-20.37419512
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BOURNEMOUTH,11598,11889,12186,11792,9269,7468,6255,7182,6824,6714,8554,27.40542151
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,BRISTOL,61311,65825,58741,60068,53796,53788,52670,50654,53966,52574,54741,4.121809259
17/03/2016 11:38,2005 - 2015,1,3,Other UK Airports,CAMBRIDGE,80,121,69,41,38,30,10,63,763,1479,373,-74.78025693
