rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_atms_tp,atms_pa_tp,atms_cg_tp,total_atms_lp,atms_pa_lp,atms_cg_lp,total_atms_pc,atms_pa_pc,atms_cg_pc
17/03/2016 11:38,2015,2014,1,1,London Area Airports,GATWICK,262571,262568,3,254540,254533,7,3.155103207,3.156761646,-57.1428566
17/03/2016 11:38,2015,2014,1,1,London Area Airports,HEATHROW,472060,469672,2388,470708,468376,2332,0.287226915,0.276700765,2.401372194
17/03/2016 11:38,2015,2014,1,1,London Area Airports,LONDON CITY,79251,79251,0,70133,70133,0,13.0010128,13.0010128,
17/03/2016 11:38,2015,2014,1,1,London Area Airports,LUTON,87440,85738,1702,75616,73926,1690,15.63690186,15.97813988,0.710059166
17/03/2016 11:38,2015,2014,1,1,London Area Airports,SOUTHEND,8975,8974,1,11541,11539,2,-22.23377609,-22.22896194,-50
17/03/2016 11:38,2015,2014,1,1,London Area Airports,STANSTED,154478,144522,9956,143230,133805,9425,7.853103638,8.00941658,5.633952141
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,ABERDEEN,95687,93983,1704,106143,104288,1855,-9.850861549,-9.881290436,-8.140161514
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BARRA,947,946,1,882,881,1,7.369614601,7.377979755,0
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40571,40571,0,36052,36052,0,12.53467178,12.53467178,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,36273,32165,4108,34795,30732,4063,4.247736931,4.662891865,1.107555985
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BENBECULA,1692,1692,0,1681,1681,0,0.654372394,0.654372394,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BIGGIN HILL,24,24,0,34,34,0,-29.41176414,-29.41176414,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BIRMINGHAM,89837,89837,0,89056,89056,0,0.876976311,0.876976311,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BLACKPOOL,6554,6554,0,8231,8231,0,-20.3741951,-20.3741951,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BOURNEMOUTH,8554,6640,1914,6714,4560,2154,27.40542221,45.61403656,-11.14206123
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,BRISTOL,54741,54741,0,52574,52574,0,4.121809483,4.121809483,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,CAMBRIDGE,373,373,0,1479,1479,0,-74.78025818,-74.78025818,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,CAMPBELTOWN,977,977,0,1035,1034,1,-5.60386467,-5.512572765,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,CARDIFF WALES,14044,13957,87,14228,13987,241,-1.293224573,-0.214484885,-63.90041351
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1927,1927,0,2537,2537,0,-24.04414749,-24.04414749,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,COVENTRY,676,0,676,539,0,539,25.41744041,,25.41744041
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,DONCASTER SHEFFIELD,5581,5470,111,5118,5098,20,9.046502113,7.296979427,455
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,DUNDEE,1174,1174,0,1204,1204,0,-2.49169445,-2.49169445,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,DURHAM TEES VALLEY,3920,3920,0,4047,4046,1,-3.138127089,-3.114186764,
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56378,34259,22119,57197,35380,21817,-1.431893229,-3.168456793,1.3842417
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,EDINBURGH,107211,102240,4971,101407,96405,5002,5.723470688,6.052590847,-0.619752109
17/03/2016 11:38,2015,2014,1,3,Other UK Airports,EXETER,12967,12425,542,12469,11496,973,3.993904829,8.081071854,-44.29598999
