rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,mail_shd_pax_acf_fe,mail_shd_cgo_acf_fe,mail_cht_pax_acf_fe,mail_cht_cgo_acf_fe,mail_shd_pax_acf_fn,mail_shd_cgo_acf_fn,mail_cht_pax_acf_fn,mail_cht_cgo_acf_fn,mail_shd_pax_acf_uk,mail_shd_cgo_acf_uk,mail_cht_pax_acf_uk,mail_cht_cgo_acf_uk
17/03/2016 11:49,2015,1,1,London Area Airports,GATWICK,2690.616,0,18.793,0,2796.132,0,9.354,0,6.734,0,0,0
17/03/2016 11:49,2015,1,1,London Area Airports,HEATHROW,17043.417,0.885,1.856,0,77785.46,88.156,9.356,32.822,13.211,0,0,0
17/03/2016 11:49,2015,1,1,London Area Airports,LONDON CITY,114.317,0,0,0,1323.267,0,0,0,0.284,0,0,0
17/03/2016 11:49,2015,1,1,London Area Airports,STANSTED,1.932,9.271,0,2.7,2.393,9.272,0,1.053,0,0,0,19088.352
17/03/2016 11:49,2015,1,3,Other UK Airports,ABERDEEN,0.482,0,0.297,0.789,0,0,0,0.267,5.579,0,2.914,1517.927
17/03/2016 11:49,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,0,0,0,0,0.378,0,0,0,0,0,0,16770.796
17/03/2016 11:49,2015,1,3,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,1.769,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,BIRMINGHAM,20.802,0,0,0,91.685,0,0,0,0.083,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,BOURNEMOUTH,0.149,0,0,0,0,0,0,0,0,47.543,0,7227.373
17/03/2016 11:49,2015,1,3,Other UK Airports,BRISTOL,0.778,0,0.786,0,0,0,0.768,0,0.103,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,CARDIFF WALES,0,0,0,0,0,0,0,0,0.002,0,0,274.076
17/03/2016 11:49,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0,0,0,0,10.867,0,0,0,4.609,73.076,0,29839.498
17/03/2016 11:49,2015,1,3,Other UK Airports,EDINBURGH,0,8.967,0,56.769,0,0,0,0,0.026,1893.269,0,14401.191
17/03/2016 11:49,2015,1,3,Other UK Airports,EXETER,0,0,0,0,0,0,0,0,0.045,0,0,3531.921
17/03/2016 11:49,2015,1,3,Other UK Airports,GLASGOW,0.039,0,0.07,0,8.996,0,0,0,101.064,0,0,1.625
17/03/2016 11:49,2015,1,3,Other UK Airports,INVERNESS,0,0,0,0,0,0,0,0,0,0,0,3.513
17/03/2016 11:49,2015,1,3,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,69.408,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,14.641,154.438,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,KIRKWALL,0,0,0,0,0,0,0,0,27.822,0.484,0,0.01
17/03/2016 11:49,2015,1,3,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,16.5,146.6,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,MANCHESTER,14.614,0,2.552,0,3747.125,0,0.172,0,0.491,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,NEWCASTLE,0,0,0,0,3.645,0,5.091,0,0.042,0,0,4623.914
17/03/2016 11:49,2015,1,3,Other UK Airports,SOUTHAMPTON,9.425,0,0,0,0,0,0,0,0.153,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,0.586,0,0,0
17/03/2016 11:49,2015,1,3,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,36.114,0.025,0,0
17/03/2016 11:49,2015,2,4,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,80.994,1.348,0,0
17/03/2016 11:49,2015,2,4,Non UK Reporting Airports,GUERNSEY,0.038,0,0,0,0,0,0,0,82.216,1.144,0,2707.506
17/03/2016 11:49,2015,2,4,Non UK Reporting Airports,ISLE OF MAN,0.142,0,0,0,0,0,0,0,0.021,0,0,2490.251
17/03/2016 11:49,2015,2,4,Non UK Reporting Airports,JERSEY,0,0,0,0,0,0,0,0,3.015,0,0,1742.936
