rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
17/03/2016 11:49,2015,2014,1,1,London Area Airports,GATWICK,40269087,38103667,5.682970047,0,0,,262571,254540,3.155103207,0,0,3.155103207
17/03/2016 11:49,2015,2014,1,1,London Area Airports,HEATHROW,74985748,73405330,2.153001785,0,0,,472060,470708,0.287226915,0,0,0.287226915
17/03/2016 11:49,2015,2014,1,1,London Area Airports,LONDON CITY,4319301,3647824,18.40760422,0,0,,79251,70133,13.0010128,0,0,13.0010128
17/03/2016 11:49,2015,2014,1,1,London Area Airports,LUTON,12263505,10484938,16.9630661,0,0,,87440,75616,15.63690186,0,0,15.63690186
17/03/2016 11:49,2015,2014,1,1,London Area Airports,SOUTHEND,900648,1102358,-18.29804802,0,0,,8975,11541,-22.23377609,0,0,-22.23377609
17/03/2016 11:49,2015,2014,1,1,London Area Airports,STANSTED,22519178,19965093,12.79275322,0,0,,154478,143230,7.853103638,0,0,7.853103638
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,ABERDEEN,2958563,3158732,-6.337004662,510962,564930,-9.553042412,59200,64059,-7.585195065,36487,42084,-7.585195065
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BARRA,10658,10521,1.30215764,0,0,,947,882,7.369614601,0,0,7.369614601
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2692713,2555145,5.383960724,0,0,,40571,36052,12.53467178,0,0,12.53467178
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,4391292,4033954,8.85825634,0,0,,36273,34795,4.247736931,0,0,4.247736931
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BENBECULA,32146,31213,2.98913908,0,0,,1692,1681,0.654372394,0,0,0.654372394
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BIGGIN HILL,644,497,29.57746506,0,0,,24,34,-29.41176414,0,0,-29.41176414
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BIRMINGHAM,10187122,9705955,4.957440853,0,0,,89837,89056,0.876976311,0,0,0.876976311
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BLACKPOOL,10339,204022,-94.93241119,23155,19976,15.91409683,1046,3025,-65.4214859,5508,5206,-65.4214859
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BOURNEMOUTH,706776,661584,6.830878735,0,0,,8554,6714,27.40542221,0,0,27.40542221
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,BRISTOL,6786790,6339805,7.050453663,0,0,,54741,52574,4.121809483,0,0,4.121809483
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,CAMBRIDGE,5799,20663,-71.93534088,0,0,,373,1479,-74.78025818,0,0,-74.78025818
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,CAMPBELTOWN,8511,9365,-9.119060516,0,0,,977,1035,-5.60386467,0,0,-5.60386467
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,CARDIFF WALES,1160506,1023932,13.33819008,0,0,,14044,14228,-1.293224573,0,0,-1.293224573
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),284485,350257,-18.77821159,0,0,,1927,2537,-24.04414749,0,0,-24.04414749
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,COVENTRY,0,0,,0,0,,676,539,25.41744041,0,0,25.41744041
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,DONCASTER SHEFFIELD,857109,724885,18.24068642,0,0,,5581,5118,9.046502113,0,0,9.046502113
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,DUNDEE,21973,22069,-0.434999317,0,0,,1174,1204,-2.49169445,0,0,-2.49169445
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,DURHAM TEES VALLEY,140902,142379,-1.037372112,0,0,,3920,4047,-3.138127089,0,0,-3.138127089
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4450862,4510544,-1.32316637,0,0,,56378,57197,-1.431893229,0,0,-1.431893229
17/03/2016 11:49,2015,2014,1,3,Other UK Airports,EDINBURGH,11114587,10160004,9.395498276,0,0,,107211,101407,5.723470688,0,0,5.723470688
